Cell_ID,Area,Perimeter,Circularity
1,3.5,7.414213538169861,0.8001063703614795
2,14.5,19.899494647979736,0.46014400816121
3,17.0,18.485281229019165,0.6251822815242696
4,5.0,8.828427076339722,0.8061450660379307
5,0.0,2.0,0.0
6,13.5,17.071067690849304,0.5821330594622985
7,5.5,9.41421353816986,0.7798381254407765
8,62.0,42.14213538169861,0.4387008517897798
9,7.5,14.242640614509583,0.4646116503384779
10,35.5,41.55634880065918,0.2583232234968944
11,1.5,7.414213538169861,0.34290273015491973
12,12.5,13.899494767189026,0.8130586008171329
13,24.5,23.899494767189026,0.5390120920947209
14,7.5,13.899494528770447,0.4878351772259914
15,58.0,40.627416491508484,0.44156988304035755
16,345.0,180.16652011871338,0.1335613433385414
17,2.5,12.242640614509583,0.2096040505144486
18,172.5,111.15432786941528,0.17544710627364798
19,2.0,6.828427076339722,0.5390120920947209
20,24.0,19.313708305358887,0.8085181428902574
21,7.0,14.485281229019165,0.4192316296468001
22,1147.0,317.9066346883774,0.14261792009597613
23,3.0,8.828427076339722,0.4836870396227584
24,48.5,37.55634880065918,0.432100605496719
25,1.5,5.414213538169861,0.6430287075658971
26,1.0,4.828427076339722,0.5390120952601716
27,4.5,9.41421353816986,0.6380493753606353
28,29.5,27.071067690849304,0.5058492499518391
29,0.0,2.0,0.0
30,0.5,3.414213538169861,0.5390120920947209
31,1.5,5.414213538169861,0.6430287075658971
32,0.5,3.414213538169861,0.5390120920947209
33,2.0,6.828427076339722,0.5390120920947209
34,0.0,2.0,0.0
35,2.5,7.414213538169861,0.5715045502581996
36,12.5,17.899494647979736,0.4902734071526989
37,0.5,6.2426406145095825,0.16122901519013072
38,45.5,34.38477599620819,0.48360286138461084
39,11.5,13.071067690849304,0.8458348538463677
40,76.5,51.69848394393921,0.3596794984457648
41,2.5,7.414213538169861,0.5715045502581996
42,16.0,17.313708305358887,0.6707329686922848
43,5.0,8.828427076339722,0.8061450660379307
44,3.0,6.828427076339722,0.8085181381420814
45,472.5,139.63960933685303,0.3045049988833749
46,0.0,2.0,0.0
47,1.5,5.414213538169861,0.6430287075658971
48,4.5,8.242640614509583,0.8323186927986581
49,1.0,4.828427076339722,0.5390120952601716
50,5.5,9.41421353816986,0.7798381254407765
51,11.0,17.656854152679443,0.44337978632086184
52,1.5,5.414213538169861,0.6430287075658971
53,0.0,0.0,0.0
54,21.0,26.14213538169861,0.38614199849508096
55,5.0,9.656854152679443,0.6737651190752144
56,10.5,15.071067690849304,0.5809130357363581
57,3.0,6.828427076339722,0.8085181381420814
58,19.5,17.071067690849304,0.8408588636677646
59,20.0,17.656854152679443,0.8061450660379307
60,0.0,2.0,0.0
61,71.0,44.627416491508484,0.4479862874540003
62,0.0,2.0,0.0
63,10.0,11.656854152679443,0.9247985466222429
64,92.0,67.11269772052765,0.256677794208797
65,4.0,8.828427076339722,0.6449160528303446
66,0.0,0.0,0.0
67,0.0,2.0,0.0
68,5.5,9.41421353816986,0.7798381254407765
69,38.5,29.899494767189026,0.5411814400145112
70,16.0,22.485281229019165,0.39767949546541664
71,0.0,0.0,0.0
72,5.0,9.656854152679443,0.6737651190752144
73,9.0,11.656854152679443,0.8323186919600186
74,0.5,3.414213538169861,0.5390120920947209
75,26.0,28.97056257724762,0.38928651003975223
76,19.5,17.071067690849304,0.8408588636677646
77,2.0,6.828427076339722,0.5390120920947209
78,59870.0,3547.198375582695,0.05979270048477559
